id|faction_id|name|legend|type|
000001021|AE|Ghosts of the Webway|<p class="ShowFluff legend">Even a single troupe of Harlequins can spread bloodshed and unreasoning terror amongst the enemy lines. When entire masques of these sinister and acrobatic killers gather to make war, they strike with such speed, skill and violence that they can eviscerate the mightiest enemy armies. Their saedath battle plans are as dynamic and intricate as they are spectacularly lethal. Some see spearheads of hurtling jetbikes shatter the enemy lines before grav-transports disgorge Harlequin troupes to assassinate their reeling foes’ leaders. Others lure enemy hordes into bloody massacres laced with dramatic irony and bleak mirth or play out murderous recountings of Aeldari morality tales that cast the enemy as unwilling participants in the story of their bloody punishment. Whether fighting alone or alongside hosts from the craftworlds, Commorragh or Corsair fleets, the Harlequins strike without warning - or often, to the foe, apparent cause - and inflict such horrors that even their allies may be left shocked at the carnage.</p>||
000001022|AE|Devoted of Ynnead|<p class="ShowFluff legend">Those Aeldari who follow the extremist teachings of the priestess Yvraine seek to empower Ynnead, the Aeldari god of death. In the name of their morbid creed, they hurl themselves into battle, sure that not only is every enemy slain one less to menace the Aeldari but also that their own deaths will bring their god closer to waking. Perhaps the strength of fanatical conviction magnified by the Aeldari psyche allows Ynnead’s devotees to channel some fragment of his supernatural powers. Maybe it is the latent psychic potential of the Aeldari finding macabre expression or something more sinister at work. Whatever the case, while their numbers may be few and their death cult marginalised, the Ynnari demonstrate strange and deadly abilities in battle. Coupled with their people’s natural and technological puissance, this renders the Ynnari a terrible foe indeed. Moreover, they will know ultimate victory, whether they live to fight again or die for Ynnead’s cause.</p>||
000001023|AE|Seer Council|<p class="ShowFluff legend">Eldritch psychic storms tear at the enemy as the Seer Council leads their warriors into battle. Farseers deliver prophetic orders in voices of steely calm, guiding Aspect Warriors and Guardian squads to strike at crucial fate and causality junctures. Their every pronouncement seals the doom of fresh foes. Psychic executioners project their spirits through the Empyrean to destroy enemy champions’ souls or predict warring combatants’ battle fates. Warlocks lead their squads through the tightly focused maelstrom, singing spears lashing out and psychic fury crackling forth to deliver elegant and total destruction. Led by such a conclave of their most potent psykers, the Aeldari are unstoppable. They fight clad in the faded raiment of their once-mighty empire. The devastation they bring to bear echoes that their fallen ancestors once unleashed to put the galaxy on its knees; this is the Aeldari at their most potent, a terrifying psychic blade driven into the heart of the luckless foe.</p>||
000001024|AE|Aspect Host|<p class="ShowFluff legend">When the Avatar of Khaine strides out to war, the Aspect Warriors of many shrines fight in its cinder-swirled shadow. Squads of Dire Avengers rake their targets with storms of shuriken discs. Shrieking bands of Howling Banshees tear into the enemy’s front lines even as Striking Scorpions flit from ambush to rip bloody rents in their flanks. Fire Dragons unleash point-blank fury to reduce enemy war engines to blazing wrecks, while the long-ranged salvoes of Dark Reapers streak overhead to detonate amongst the foe. Swooping Hawks circle on the winds of war and launch opportunist strikes, Shining Spears and Crimson Hunters drive home hurtling attack runs, and Warp Spiders burst in and out of reality amidst monofilament clouds of death. Guided by the martial expertise of Autarchs and Exarchs, and supported by Guardian-crewed war engines and artillery, the devotees of Khaine’s many aspects pick their enemies apart with surgical precision. Coupled with the blazing devastation wrought by the Avatar itself, their onslaught is irresistible.</p>||
000000760|AM|Combined Arms|||
000000927|AM|Embarked Regiment|<b>Astra Militarum regiments spend months, even years, travelling aboard voidships between war zones. Many fortify their billets during such long periods of inactivity, whether against the danger of hostile boarders, or to hide illicit activities from prying discipline masters!</b>|Boarding Actions|
000000928|AM|Tempestus Boarding Regiment|<b>The Militarum Tempestus excel in high-intensity, fast-moving raids. Some of their regiments further refine these specialisms towards the boarding of voidships, storming vital locations to seize and scuttle the vessel or extract vital personnel from the foe’s clutches.</b>|Boarding Actions|
000000996|AM|Bridgehead Strike|<p class="ShowFluff legend">When the Astra Militarum launch rapid offensives, their attack routes are typically planned well in advance. Should a crucial bridge, mountain pass, supply depot or other essential landmark lie along their path, an elite force may be tasked to secure it ahead of the main push. The elite warriors of the Militarum Tempestus or equivalent specialist companies like the Cadian Kasrkin most often undertake such missions. Deploying via aircraft, grav-chutes or columns of fast armoured transports, the force hits their target zone hard, relying upon firepower and surprise to dislodge enemy defenders. With the site secured, the strike forces must hold their prize against whatever the foe hurls at them until the main strength of the Imperial host reaches their position and relieves them.</p>||
000001010|AM|Siege Regiment|||
000001011|AM|Mechanised Assault|||
000001012|AM|Hammer of the Emperor|||
000001013|AM|Recon Element|||
000000892|AoI|Ordo Xenos Alien Hunters|||
000000893|AoI|Ordo Hereticus Purgation Force|||
000000894|AoI|Ordo Malleus Daemon Hunters|||
000000895|AoI|Imperialis Fleet|||
000000924|AoI|Voidship’s Company|<b>Comprising the shipboard garrison and those who command them, this is a balanced force specialising in both the defence of, and boarding of voidships. Going chamber by chamber to secure and control vital systems and locations, this naval complement know their business all too well.</b>|Boarding Actions|
000000925|AoI|Interdiction Team|<b>Whether boarding a vessel smuggling unsanctioned psyker-mutants, eliminating the unholy allies of some corrupt Planetary Governor, or moving swiftly to snatch proscribed interstellar contraband, Adeptus Arbites Interdiction Teams handle the most perilous of void crimes with extreme prejudice.</b>|Boarding Actions|
000000987|AoI|Veiled Blade Elimination Force|<p class="ShowFluff legend">The lethally efficient agents of the Officio Assassinorum ordinarily operate alone when stalking their prey. However, when assigned a particularly well-protected or formidable target, assassins from various temples may be brought together alongside other assets drawn from the military, Ecclesiarchal or judicial wings of the Imperium. These bespoke formations possess enough firepower to break through the target’s defences and ensure the killing blow is landed.</p>||
000000791|AS|Hallowed Martyrs|||
000000878|AS|Penitent Host|||
000000879|AS|Bringers of Flame|||
000000880|AS|Army of Faith|||
000000916|AS|Pious Protectors|<b>The Adepta Sororitas are no strangers to void combat. Boltguns, flamers and melta weapons make excellent tools for cleansing obstinate foes from the decks of a vessel.</b>|Boarding Actions|
000000917|AS|Penitents and Pilgrims|<b>The Ecclesiarchy’s priests travel huge distances in service to the God-Emperor, often to visit holy shrines or take part in Wars of Faith. The penitents and pilgrims who comprise their travelling flocks are zealously devoted to the faith, and relish the opportunity to prove their faith in battle.</b>|Boarding Actions|
000001003|AS|Champions of Faith|<p class="ShowFluff legend">The Adepta Sororitas assemble their most skilled and pious warriors when a truly vital mission must be completed. Whether they muster in the marshalling cloisters of a holy shrine, aboard a dropship thundering through hostile skies, or even upon the open field of war amidst fountaining explosions and heaped corpses, these hand-picked champions of the Imperial Creed halt long enough to kneel as one and pray to the God-Emperor. Only once they have sworn irrevocable oaths to the Master of Mankind, promising they will die before failing him, do the Battle Sisters advance. Bound by the promises they have made and sure in the knowledge that they are the finest exemplars of their order, these Champions of Faith stride out with unshakeable purpose and fiercely focused determination to prevail no matter the cost.</p>||
000000779|CD|Daemonic Incursion|||
000000953|CD|Daemonic Incursion|<b>Warp travel is fraught with perils, the greatest of which is a breach of the voidship’s Geller fields. In but the beat of a mortal heart, scores of infernal entities manifest aboard the doomed ship, shrieking with predatory glee as they fall upon their victims.</b>|Boarding Actions|
000000954|CD|Infernal Onslaught|<b>Whether it be aboard the echoing corridors of a space hulk, storming through the gothic confines of a loyalist warship, or spilling from the warp into a xenos vessel, such close-quarters violence draws the daemons of Khorne in great number.</b>|Boarding Actions|
000000955|CD|Rotten and Rusted|<b>The daemons of the Plague God Nurgle slither through enemy voidships like seeping corruption given malevolent form. Their very touch breeds foulness, tendrils of rust spreading across bulkheads as the bodies of their slain foes squirm with pestilential vermin.</b>|Boarding Actions|
000000956|CD|Dread Carnival|<b>Lithe and graceful, the daemons of Slaanesh cavort across the decks of enemy voidships, bombarding their victims’ senses with hypnotic dances and soporific aromas before butchering them in the most outlandishly gory fashion imaginable.</b>|Boarding Actions|
000000957|CD|Pandaemoniac Inferno|<b>Once the daemons of Tzeentch are loose aboard a ship they spread like a kaleidoscopic firestorm. Their mad cackles meld with the screams of their victims as the daemons’ mutative touch twists both the infested voidship and the unfortunates who defend it, blending them amidst gruesome conflagrations of change.</b>|Boarding Actions|
000000997|CD|Legion of Excess|<p class="ShowFluff legend">The legions of Slaanesh surge into battle like a blood-spattered carnival run mad. It is a revel where every swathe of diaphanous silk is braided with screaming souls, and every beautiful smile stretches into a needle-fanged leer of cruellest hunger. The presence of these entities is enough to drive mortals mad as the horrific evidence of their eyes wars with forbidden desire welling inside them like bile. Engulfed in intoxicating mists, they struggle to raise weapons against Daemonettes and Fiends whose every caress bears a razor’s edge. Wailing in blissful torment, they drop to their knees before towering Keepers of Secrets, pleading for gifts of agony the daemons gladly dole out. Willingly, they hurl themselves beneath the hooves of Seekers and the threshing blades of Hellflayers. Against such insidious foes, what hope of victory can there be?</p>||
000000998|CD|Scintillating Legion|<p class="ShowFluff legend">Capering and cackling in an endless flux of transmogrifying change, the daemonic legions of Tzeentch unleash kaleidoscopic madness upon their enemies. Malevolent Lords of Change robed in sanity-blasting unhues wield raw magic with the ease of breathing. They marshal their bedlam hordes even as they transform screaming mortals into mounds of mutant flesh or set light to reality itself. Pink, Blue and Brimstone Horrors dance amidst the leaping flames, their sorceries unleashed in scintillating bombardments alongside the mutagenic blasts of bounding Flamers. Blade-finned Screamers flit through the skies in spiteful shoals, wheeling around the Burning Chariots that streak into the enemy lines like multicoloured comets, while all around them, reality itself distorts into screaming insanity.</p>||
000000999|CD|Blood Legion|<p class="ShowFluff legend">The daemon legions of Khorne burst into realspace like blood from an artery. Bloodcrushers pound the ground as they lead the charge, slamming into the enemy lines with avalanche force. Behind them come snarling Flesh Hounds and gore-slick Bloodletters, the bellow of brazen war horns sounding their massed charge. Through the clangour of blades and screams, a new sound cuts the air as flaming skulls whistle down to explode amongst the enemy, spat from the maws of Skull Cannons to inflict maximum slaughter. Then, the dark shadow of outstretched wings spreads over the foe. Roaring bloody murder, the Bloodthirsters of Khorne slam down from on high to unleash carnage beyond the imaginings of mortal warriors. As severed heads tumble and blood falls like monsoon rain, crimson doom engulfs the enemy altogether.</p>||
000001000|CD|Plague Legion|<p class="ShowFluff legend">One moment, reality is a place of rationality. The next, the veil separating realspace from the Warp strains, then bursts like a fatted boil and from the suppurating rent spill the daemon legions of Nurgle. Despair spreads before them like vomit soaking into pristine silk. Miasmal clouds engulf the foe, causing flesh to blister and slough, metal to fur with rust, and hope itself to rot away into dread misery. Already disoriented and gripped by gloom, the enemy now faces rank upon rank of rotted horrors as Plaguebearers slouch toward them, shepherded by the mountainous bulks of Great Unclean Ones. With tittering tides of Nurglings flowing like sharp-fanged effluent about their legs, Beasts of Nurgle bounding through their lines like living boulders, and malevolent Plague Drones thrumming down from above, the enemy’s nightmare is just beginning.</p>||
000001027|CD|Shadow Legion|||
000000751|CSM|Pactbound Zealots|||
000000867|CSM|Veterans of the Long War|||
000000868|CSM|Deceptors|||
000000869|CSM|Renegade Raiders|||
000000870|CSM|Dread Talons|||
000000871|CSM|Fellhammer Siege-host|||
000000872|CSM|Chaos Cult|||
000000873|CSM|Soulforged Warpack|||
000000946|CSM|Infernal Reavers|<b>Many Chaos Space Marines warbands ply established void routes, preying upon passing shipping. These cruel raiders excel in shipboard combat, seizing plunder and slaughtering entire crews as bloody offerings to their Dark Gods.</b>|Boarding Actions|
000000947|CSM|Underdeck Uprising|<b>It takes only the slightest seed of corruption to spread sedition and heresy through the downtrodden and desperate crew-serfs packed into many voidships’ bilges and gun decks. Whipped into a traitorous frenzy by demagogues promises of power, mutants and madmen rise up en masse to seize the ship.</b>|Boarding Actions|
000000948|CSM|Champions of Chaos|<b>Every Chaos Lord has a cadre of chosen warriors and dread lieutenants to enforce their will. When the mightiest enemy flagships must be taken, or the bridge of their own vessel held at all costs, it is these chosen champions of the Chaos Gods who step forth to fight.</b>|Boarding Actions|
000000991|CSM|Creations of Bile|<p class="ShowFluff legend">Comprising abhorrent warbands of augmented Chaos Space Marines, the varied creations of Bile display the depths of the Primogenitor’s dark genius. Whether devoted to Bile’s search for prize specimens and forbidden knowledge or bartered to ambitious warlords in return for great riches, these altered warriors expand the web of the Spider’s sinister influence. Each new experiment the Clonefather undertakes is intended to improve upon the works of the Corpse-Emperor and render the transhuman form of a Space Marine more lethal. In battle, his creations utilise their enhanced strength, speed, aggression and endurance to weather fields of killing fire, plunge into the midst of the enemy and tear their victims apart, even as the genetic mutations induced by the Clonefather begin to overwhelm their altered forms.</p>||
000001058|CSM|Cabal of Chaos|<p class="ShowFluff legend">Even a single Chaos Space Marine Sorcerer is a powerful champion of the Dark Gods, capable of channelling the energies of the Warp into blasts of infernal flame and nightmarish curses of mutation. When multiple Sorcerers gather, their powers are magnified. Reality itself convulses at their command. Enemy warriors are torn asunder by storms of empyric power, as the battlefield writhes in unnatural mutation. While a lone Sorcerer often acts as the advisor to a powerful Chaos Lord, cabals such as this possess the combined might and forbidden knowledge to rule over armies or even entire worlds. Accompanied by their chosen lieutenants and defended by those they consider their servants, the Sorcerers unleash their hosts to conquer unsuspecting worlds, ransack ancient repositories of knowledge, and expand their malevolent powers even more.</p>||
000000930|DG|Vectors of Decay|<b>The Death Guard are well-practised in shipboard warfare and punishing boarding actions. Spearing deep in the enemy vessel like the tendrils of some nightmare parasite, they spread corruption and entropy through foes and mechanical systems alike.</b>|Boarding Actions|
000000931|DG|Unclean Uprising|<b>Under the corrupting influence of Nurgle’s worshippers, voidships can sicken just like living bodies. Corridors awash with chanting, diseased cultists, chambers and vital systems clogged by rancid entities and plague-spawned filth, even the most redoubtable warship can sicken and die.</b>|Boarding Actions|
000000932|DG|Arch-Contaminators|<b>Spearheading assaults onto enemy voidships or digging in to defend the most vital of their own plague ships’ systems and chambers, these chosen of Mortarion are as indomitable as they are foul. No foe can long endure their feculent ferocity.</b>|Boarding Actions|
000000980|DG|Flyblown Host|<p class="ShowFluff legend">As the Death Guard stride inexorably towards their foes, the battlefield thrums and buzzes with the wingbeats of a trillion swollen flies. Bloated and mutated Plague Marines march beneath a pathogenic haze, striding forward slowly and purposefully, unleashing precise salvoes of diseased projectiles. The obscuring swarms foul the foe’s return fire, and whatever clots of contagion their desperate shots manage to clear away are filled moments later by yet more hovering vermin. Amidst the droning miasma, the Death Guard stride on, at one with the crawling and buzzing horror surrounding them. As the horrifying cloud washes over the enemy, their warriors retch and claw at their skin. The Plague Marines exploit the distraction ruthlessly, cutting down their stricken foes and leaving nothing but rotting corpses in their wake.</p>||
000001049|DG|Virulent Vectorium|<p class="ShowFluff legend">Many Death Guard vectoriums boast a mix of heavy infantry, armoured might and twisted champions of supernatural disease. Led by a mighty Lord of the Legion - or sometimes even a thrice-favoured Daemon Prince - such warbands accumulate the favour of the Plague God with every repulsive feat of conquest. Their festering star rises as they do, and the diseases that sing through their bloated bodies wax fat with power. Their weaponised maladies roll before them like a rancid flood, surging through the enemy ranks to leave the mightiest warriors shuddering and sweating as buboes erupt from their flesh. Even the battlefield itself sickens at the touch of such corrupt beings: greenery rots and runs into lakes of bubbling slime, mud churns with pus-moist larvae as long as a Human arm, ruins fur with mould and begin to crumble, while vehicle wrecks rust and the bodies of the fallen bloat and burst to spray infectious filth. Amidst such riotous putrefaction, the warriors of the Death Guard drone their praises to Nurgle and fight all the harder.</p>||
000001050|DG|Mortarion’s Hammer|<p class="ShowFluff legend">The armoured might of the Death Guard has warped and corroded over the millennia, but it remains prodigious. Formed into grinding spearheads and smog-belching batteries, squadrons of ancient battle tanks and Daemon Engines mass their blunt and brutish power before unleashing it on the foe. Their onslaught is heralded by a rain of rust-pocked artillery shells, alchemical munitions and brittleglass plague-spheres hurled from infernal field guns and towering Daemon Engines behind the lines. The foe cower beneath this explosive deluge, many torn apart by thunderous detonations or eaten away by whirling spore clouds. Amid the devastation surge reaper colonies of Plague Marines mounted in Rhinos and Land Raiders. These warriors are masters of capitalising upon their foes’ dismay and horror, tearing the guts out of the most formidable defence lines even as carrion-feeding war engines close in to finish off knots of resistance. Many a siege has been swiftly broken in this way by the fall of Mortarion’s Hammer.</p>||
000001051|DG|Champions of Contagion|<p class="ShowFluff legend">There are many ways to worship Nurgle: the brewing of virulent plagues, the foul perversion of the surgeon’s craft, sharing the abundance of unfettered sickness with armies of foes; the champions of the Death Guard practise these and many other expressions of the Plague Lord’s faith. A vectorium rich in these diabolical madmen can unleash the full horror of the Legion’s alchemical, biological and sorcerous weapons. Foul Blightspawn lumber amidst their comrades, their excremental reek heralding the jetting corrosive sprays of their weapons. Noxious Blightbringers toll their tocsins of misery, battering the foe with entropic shock waves even as Biologus Putrifiers caper through their ranks to fling brittleglass alembics and jab the needles of their injector pistols into promising victims. All the while, the droning count of the Tallymen booms out through rusted vox-emitters, and Plague Surgeons ply their macabre trade, even as their fellow Plague Marines storm relentlessly forward over the withered and maddened remnants of the foe.</p>||
000001052|DG|Tallyband Summoners|<p class="ShowFluff legend">There are many ways for the daemons of Nurgle to burst the bounds of reality and fight alongside the Death Guard. Sometimes, they are conjured by the concentration of sickness and misery unleashed by Mortarion’s sons. At others, their Tally bands may be summoned by a champion of the Death Guard reading aloud from the mouldering pages of one of the seven Books of Woe or through a ritual offering of diseased or despairing souls. Regardless of how these entities find their way to the battlefield, they plague all living things. The mere sight of Great Unclean Ones a stomping into battle like swaying mountains of rotted flab can be enough to blast the sanity of the foe. The onset of gruesome Plaguebearers, fleshy avalanches of spiteful Nurglings, bounding packs of Beasts of Nurgle, and thrumming swarms of Plague Drones proves impossible for even the most resolute enemy to halt. Even should some brave victims stand their ground, they will not last long before the ferociously infectious attentions of these befouling entities.</p>||
000001053|DG|Shamblerot Vectorium|<p class="ShowFluff legend">Many vectoriums unleash heaving swarms of Poxwalkers to soften up and encircle their foes. The first the enemy knows of such an onslaught is the stink of diseased flesh upon the air, mingled with the agonised groans of countless plague-ridden mutants. Then they come - spilling from doorways and windows, boiling up from sewer outlets, trench networks and subterranean transit networks, crawling out of vehicle wrecks and rising from carrion heaps; thousands upon thousands of Poxwalkers converging on the foe at a stumbling yet relentless pace. Engulfed in a sea of grasping hands, biting maws and bloated flesh, even the finest strategies of the foe falter and fail. The enemy finds themselves forced into a battle for survival as they strive to fend off the Poxwalkers closing in from every side. It is at this point that the Death Guard themselves strike. Off balance, broken into desperate pockets and running low on ammunition, the foe has little hope of standing against this second, more punishing onslaught.</p>||
000001054|DG|Death Lord’s Chosen|<p class="ShowFluff legend">The mightiest champions of the Death Guard are as formidable in battle as they are bloated with the infectious blessings of Nurgle. When they congeal into a unified fighting force, these dread warriors become the grim and relentless will of Mortarion made manifest. Such a vectorium is quite capable of conquering an enemy flagship or command fortress, launching assassination strikes against crucial enemy personnel or breaking into the most heavily defended sacred sites. It is not unusual for Mortarion’s champions to turn the course of an entire war with a single shock onslaught or immovable defensive action; this is most likely when the Daemon Primarch leads in person. With their gene-sire’s jaundiced gaze weighing heavy upon them, bands of Deathshroud and Blightlord Terminators tear an unstoppable path through the foe. Supported by hand-picked squads of Plague Marines, bellowing Helbrutes and twisted champions, they sweep aside all who stand in their path.</p>||
000000831|DRU|Skysplinter Assault|<p class="ShowFluff legend">Many raiding parties swoop upon their victims aboard fleets of speeding anti-grav skimmers. Bands of Drukhari ride their nimble craft with perfect poise, whooping in exhilaration with every sharp banking turn and suicidally steep dive. Like airborne predators, the shoals of transports and gunships weave through incoming flak to encircle their prey and rain blistering fire upon them. Explosions leap skyward as enemy strongpoints and war engines are knocked out one after another. Next comes the ground assault, as murderous bands of Drukhari vault from their Raiders and Venoms to plunge into the reeling foe. Even as the bloodshed escalates amidst a whirlwind of whistling blades and cracking lashes, still the Drukhari skimmers streak back and forth to pick off targets of opportunity and rapidly relocate wild-eyed bands of gleeful Commorrite killers. Only once resistance has been utterly shattered do the grav-vessels halt, just long enough for captives and plunder to be heaped aboard their decks for the triumphant return to Commorragh.</p>||
000000934|DRU|Space Lane Raiders|<b>The Drukhari delight in launching piratical attacks on their victims’ voidships, gathering realspace raiding parties just as they would to assail an enemy world. Such close and nightmarish confines suit these raiding bands particularly well. Soon enough, the voidship rings to the screams of its defenders...</b>|Boarding Actions|
